source_lang,source_term,ko_term,category
en,sparring,스파링,훈련
en,drilling,드릴링,훈련
en,conditioning,컨디셔닝,훈련
en,roll,롤링,훈련
en,live training,라이브 트레이닝,훈련
en,positional sparring,포지셔널 스파링,훈련
en,flow roll,플로우 롤,훈련
en,warmup,워밍업,훈련
en,cooldown,쿨다운,훈련
en,mobility,모빌리티,훈련
en,recovery,회복,훈련
en,weight cut,체중감량,경기
en,fight camp,파이트 캠프,경기
en,tournament,토너먼트,경기
en,bracket,브래킷,경기
en,referee,심판,경기
en,coach,코치,역할
en,training partner,트레이닝 파트너,역할
en,white belt,화이트 벨트,벨트
en,blue belt,블루 벨트,벨트
en,purple belt,퍼플 벨트,벨트
en,brown belt,브라운 벨트,벨트
en,black belt,블랙 벨트,벨트
en,gym,체육관,장소
en,academy,아카데미,장소
en,mat,매트,장소
